# x_m, elev_m
0.000000000000000000e+00,2.867420000000000073e+03
1.604394394394394352e+00,2.867360323315756887e+03
3.208788788788788704e+00,2.867300646631513246e+03
4.813183183183182834e+00,2.867240969947270059e+03
6.417577577577577408e+00,2.867211943293089917e+03
8.021971971971971982e+00,2.867183423035867236e+03
9.626366366366365668e+00,2.867154902778644555e+03
1.123076076076076113e+01,2.867171589805640451e+03
1.283515515515515482e+01,2.867197661463044824e+03
1.443954954954954850e+01,2.867223733120449197e+03
1.604394394394394396e+01,2.867135201512168805e+03
1.764833833833833765e+01,2.867010405681814063e+03
1.925273273273273134e+01,2.866885609851459776e+03
2.085712712712712502e+01,2.866735702162088273e+03
2.246152152152152226e+01,2.866571330445427066e+03
2.406591591591591595e+01,2.866406958728765858e+03
2.567031031031030963e+01,2.866208926848795272e+03
2.727470470470470332e+01,2.865973084194546573e+03
2.887909909909909700e+01,2.865737241540298328e+03
3.048349349349349424e+01,2.865510808003091825e+03
3.208788788788788793e+01,2.865295398575139643e+03
3.369228228228227806e+01,2.865079989147187462e+03
3.529667667667667530e+01,2.864854082560223560e+03
3.690107107107107254e+01,2.864597872418406041e+03
3.850546546546546267e+01,2.864341662276588522e+03
4.010985985985985991e+01,2.864089317424944511e+03
4.171425425425425004e+01,2.863855337900430641e+03
4.331864864864864728e+01,2.863621358375916316e+03
4.492304304304304452e+01,2.863387259663028999e+03
4.652743743743743465e+01,2.863151070542562138e+03
4.813183183183183189e+01,2.862914881422094822e+03
4.973622622622622202e+01,2.862678692301627507e+03
5.134062062062061926e+01,2.862418310677589034e+03
5.294501501501501650e+01,2.862155849880272399e+03
5.454940940940940663e+01,2.861893389082955309e+03
5.615380380380380387e+01,2.861685938592189814e+03
5.775819819819819401e+01,2.861496004667736088e+03
5.936259259259259125e+01,2.861306070743281907e+03
6.096698698698698848e+01,2.861086381838193574e+03
6.257138138138137862e+01,2.860850821116571296e+03
6.417577577577577586e+01,2.860615260394948564e+03
6.578017017017016599e+01,2.860446868242604978e+03
6.738456456456455612e+01,2.860332736814780674e+03
6.898895895895896047e+01,2.860218605386956369e+03
7.059335335335335060e+01,2.860000024576524538e+03
7.219774774774774073e+01,2.859671201861764530e+03
7.380214214214214508e+01,2.859342379147004067e+03
7.540653653653653521e+01,2.858921351855328339e+03
7.701093093093092534e+01,2.858370320356428692e+03
7.861532532532532969e+01,2.857819288857528591e+03
8.021971971971971982e+01,2.857275765020303879e+03
8.182411411411410995e+01,2.856769826599216231e+03
8.342850850850850009e+01,2.856263888178129037e+03
8.503290290290290443e+01,2.855764231405618830e+03
8.663729729729729456e+01,2.855292818991862532e+03
8.824169169169168470e+01,2.854821406578106235e+03
8.984608608608608904e+01,2.854349994164349937e+03
9.145048048048047917e+01,2.853651686566347507e+03
9.305487487487486931e+01,2.852948464494839754e+03
9.465926926926927365e+01,2.852245093196407197e+03
9.626366366366366378e+01,2.851534760223867579e+03
9.786805805805805392e+01,2.850824427251328416e+03
9.947245245245244405e+01,2.850114094278789253e+03
1.010768468468468484e+02,2.849331849098084149e+03
1.026812412412412385e+02,2.848549187020611953e+03
1.042856356356356287e+02,2.847766524943139302e+03
1.058900300300300330e+02,2.846937234476682988e+03
1.074944244244244231e+02,2.846097203838530731e+03
1.090988188188188133e+02,2.845257173200378475e+03
1.107032132132132034e+02,2.844414447198289963e+03
1.123076076076076077e+02,2.843570531925335217e+03
1.139120020020019979e+02,2.842726616652380926e+03
1.155163963963963880e+02,2.841872500151877375e+03
1.171207907907907924e+02,2.841010162030336232e+03
1.187251851851851825e+02,2.840147823908795544e+03
1.203295795795795726e+02,2.839350382904150592e+03
1.219339739739739770e+02,2.838645903779133278e+03
1.235383683683683671e+02,2.837941424654115508e+03
1.251427627627627572e+02,2.837227353537198269e+03
1.267471571571571474e+02,2.836493879653853583e+03
1.283515515515515517e+02,2.835760405770509351e+03
1.299559459459459561e+02,2.835043121575739860e+03
1.315603403403403320e+02,2.834392648114461736e+03
1.331647347347347363e+02,2.833742174653183156e+03
1.347691291291291122e+02,2.833093662811451850e+03
1.363735235235235166e+02,2.832469607837645071e+03
1.379779179179179209e+02,2.831845552863838293e+03
1.395823123123122969e+02,2.831221497890031060e+03
1.411867067067067012e+02,2.830601190639978995e+03
1.427911011011011055e+02,2.829981150355401496e+03
1.443954954954954815e+02,2.829361110070823543e+03
1.459998898898898858e+02,2.828679734931402891e+03
1.476042842842842902e+02,2.827984969115065269e+03
1.492086786786786661e+02,2.827290203298728102e+03
1.508130730730730704e+02,2.826640257620389093e+03
1.524174674674674748e+02,2.826008455531904474e+03
1.540218618618618507e+02,2.825376653443419855e+03
1.556262562562562550e+02,2.824832591619313007e+03
1.572306506506506594e+02,2.824352602999199007e+03
1.588350450450450353e+02,2.823872614379085007e+03
1.604394394394394396e+02,2.823431078668640566e+03
1.620438338338338156e+02,2.823028844732318248e+03
1.636482282282282199e+02,2.822626610795995930e+03
1.652526226226226242e+02,2.822069633401839837e+03
1.668570170170170002e+02,2.821291588029735067e+03
1.684614114114114045e+02,2.820513542657630296e+03
1.700658058058058089e+02,2.819766988795785437e+03
1.716702002002001848e+02,2.819085216753687746e+03
1.732745945945945891e+02,2.818403444711590055e+03
1.748789889889889935e+02,2.817760742170742105e+03
1.764833833833833694e+02,2.817286536931019782e+03
1.780877777777777737e+02,2.816812331691297004e+03
1.796921721721721781e+02,2.816338247068685632e+03
1.812965665665665540e+02,2.815868859029691976e+03
1.829009609609609583e+02,2.815399470990697864e+03
1.845053553553553627e+02,2.814930082951704208e+03
1.861097497497497386e+02,2.814622314714076310e+03
1.877141441441441430e+02,2.814321770527003537e+03
1.893185385385385473e+02,2.814021226339930763e+03
1.909229329329329232e+02,2.813581855842165623e+03
1.925273273273273276e+02,2.813113961258120526e+03
1.941317217217217035e+02,2.812646066674075428e+03
1.957361161161161078e+02,2.812219092891152741e+03
1.973405105105105122e+02,2.811807210764433421e+03
1.989449049049048881e+02,2.811395328637714101e+03
2.005492992992992924e+02,2.810983557569903496e+03
2.021536936936936968e+02,2.810571847052940939e+03
2.037580880880880727e+02,2.810160136535978836e+03
2.053624824824824771e+02,2.809810612905250764e+03
2.069668768768768814e+02,2.809519914409523608e+03
2.085712712712712573e+02,2.809229215913796452e+03
2.101756656656656617e+02,2.808880124860252636e+03
2.117800600600600660e+02,2.808460324635081633e+03
2.133844544544544419e+02,2.808040524409910631e+03
2.149888488488488463e+02,2.807683858712336132e+03
2.165932432432432506e+02,2.807486265217367418e+03
2.181976376376376265e+02,2.807288671722398703e+03
2.198020320320320309e+02,2.807095573852720008e+03
2.214064264264264068e+02,2.806920803221522419e+03
2.230108208208208112e+02,2.806746032590324376e+03
2.246152152152152155e+02,2.806561535303892015e+03
2.262196096096095914e+02,2.806192220643948076e+03
2.278240040040039958e+02,2.805822905984003683e+03
2.294283983983984001e+02,2.805453591324059744e+03
2.310327927927927760e+02,2.805076824945908811e+03
2.326371871871871804e+02,2.804699985393496718e+03
2.342415815815815847e+02,2.804323145841084624e+03
2.358459759759759606e+02,2.803962844471121571e+03
2.374503703703703650e+02,2.803606526388332895e+03
2.390547647647647693e+02,2.803250208305544220e+03
2.406591591591591452e+02,2.802977330346634517e+03
