# x_m, elev_m
0.000000000000000000e+00,2.867420000000000073e+03
4.007976994248562130e-01,2.867405092021115706e+03
8.015953988497124261e-01,2.867390184042230885e+03
1.202393098274568750e+00,2.867375276063346519e+03
1.603190797699424852e+00,2.867360368084462152e+03
2.003988497124280954e+00,2.867345460105577786e+03
2.404786196549137500e+00,2.867330552126692965e+03
2.805583895973993602e+00,2.867315644147808598e+03
3.206381595398849704e+00,2.867300736168924232e+03
3.607179294823705806e+00,2.867285828190039410e+03
4.007976994248561908e+00,2.867270920211155044e+03
4.408774693673418454e+00,2.867256012232270677e+03
4.809572393098275001e+00,2.867241104253386311e+03
5.210370092523130658e+00,2.867233403021517461e+03
5.611167791947987205e+00,2.867226278306097356e+03
6.011965491372842862e+00,2.867219153590677251e+03
6.412763190797699409e+00,2.867212028875257147e+03
6.813560890222555955e+00,2.867204904159837042e+03
7.214358589647411613e+00,2.867197779444416483e+03
7.615156289072268159e+00,2.867190654728996378e+03
8.015953988497123817e+00,2.867183530013576274e+03
8.416751687921980363e+00,2.867176405298156169e+03
8.817549387346836909e+00,2.867169280582735610e+03
9.218347086771693455e+00,2.867162155867315505e+03
9.619144786196550001e+00,2.867155031151895400e+03
1.001994248562140477e+01,2.867151913821132439e+03
1.042074018504626132e+01,2.867158426845825488e+03
1.082153788447111786e+01,2.867164939870518538e+03
1.122233558389597441e+01,2.867171452895211132e+03
1.162313328332083096e+01,2.867177965919904182e+03
1.202393098274568572e+01,2.867184478944597231e+03
1.242472868217054227e+01,2.867190991969289826e+03
1.282552638159539882e+01,2.867197504993982875e+03
1.322632408102025536e+01,2.867204018018675924e+03
1.362712178044511191e+01,2.867210531043368974e+03
1.402791947986996668e+01,2.867217044068061568e+03
1.442871717929482323e+01,2.867223557092754618e+03
1.482951487871967977e+01,2.867229664372504431e+03
1.523031257814453632e+01,2.867198488819985414e+03
1.563111027756939286e+01,2.867167313267465943e+03
1.603190797699424763e+01,2.867136137714946926e+03
1.643270567641910418e+01,2.867104962162427910e+03
1.683350337584396073e+01,2.867073786609908893e+03
1.723430107526881727e+01,2.867042611057389422e+03
1.763509877469367382e+01,2.867011435504870406e+03
1.803589647411853036e+01,2.866980259952351389e+03
1.843669417354338691e+01,2.866949084399832373e+03
1.883749187296824346e+01,2.866917908847312901e+03
1.923828957239310000e+01,2.866886733294793885e+03
1.963908727181795300e+01,2.866855557742274868e+03
2.003988497124280954e+01,2.866819429390604910e+03
2.044068267066766609e+01,2.866778367288843583e+03
2.084148037009252263e+01,2.866737305187081802e+03
2.124227806951737918e+01,2.866696243085320475e+03
2.164307576894223573e+01,2.866655180983558694e+03
2.204387346836709227e+01,2.866614118881797367e+03
2.244467116779194882e+01,2.866573056780035586e+03
2.284546886721680536e+01,2.866531994678274259e+03
2.324626656664166191e+01,2.866490932576512478e+03
2.364706426606651490e+01,2.866449870474751151e+03
2.404786196549137145e+01,2.866408808372989370e+03
2.444865966491622800e+01,2.866367746271228043e+03
2.484945736434108454e+01,2.866326684169466262e+03
2.525025506376594109e+01,2.866270674100357610e+03
2.565105276319079763e+01,2.866211757668350856e+03
2.605185046261565418e+01,2.866152841236344557e+03
2.645264816204051073e+01,2.866093924804337803e+03
2.685344586146536727e+01,2.866035008372331504e+03
2.725424356089022382e+01,2.865976091940324750e+03
2.765504126031508036e+01,2.865917175508317996e+03
2.805583895973993336e+01,2.865858259076311697e+03
2.845663665916478990e+01,2.865799342644304943e+03
2.885743435858964645e+01,2.865740426212298644e+03
2.925823205801450300e+01,2.865681509780291890e+03
2.965902975743935954e+01,2.865622593348285591e+03
3.005982745686421609e+01,2.865567690312648665e+03
3.046062515628907263e+01,2.865513878355028282e+03
3.086142285571392918e+01,2.865460066397407900e+03
3.126222055513878573e+01,2.865406254439787062e+03
3.166301825456364227e+01,2.865352442482166680e+03
